time,banknifty,nifty,tte
2021-01-04 09:15:00,0.265961,0.18575999999999998,24
2021-01-04 09:16:00,0.2618875,0.1846525,24
2021-01-04 09:17:00,0.2609475,0.18450899999999998,24
2021-01-04 09:18:00,0.261434,0.18396800000000002,24
2021-01-04 09:19:00,0.2596705,0.18375599999999997,24
2021-01-04 09:20:00,0.2588835,0.18362,24
2021-01-04 09:21:00,0.259297,0.1835715,24
2021-01-04 09:22:00,0.258703,0.1838775,24
2021-01-04 09:23:00,0.258106,0.1839075,24
2021-01-04 09:24:00,0.25948899999999997,0.1839525,24
2021-01-04 09:25:00,0.2589445,0.183622,24
2021-01-04 09:26:00,0.258783,0.183668,24
2021-01-04 09:27:00,0.2568435,0.1841655,24
2021-01-04 09:28:00,0.256347,0.1841155,24
2021-01-04 09:29:00,0.256332,0.18379,24
2021-01-04 09:30:00,0.2589855,0.18363000000000002,24
2021-01-04 09:31:00,0.2580635,0.18346,24
2021-01-04 09:32:00,0.257967,0.1813855,24
2021-01-04 09:33:00,0.2586055,0.181236,24
2021-01-04 09:34:00,0.2589475,0.182803,24
2021-01-04 09:35:00,0.2589595,0.18274800000000002,24
2021-01-04 09:36:00,0.2591685,0.1811035,24
2021-01-04 09:37:00,0.259654,0.1810565,24
2021-01-04 09:38:00,0.2603875,0.18099900000000002,24
2021-01-04 09:39:00,0.26010049999999996,0.182975,24
2021-01-04 09:40:00,0.260382,0.1828095,24
2021-01-04 09:41:00,0.2608195,0.182478,24
2021-01-04 09:42:00,0.2600755,0.1823285,24
2021-01-04 09:43:00,0.2599515,0.18206,24
2021-01-04 09:44:00,0.2591475,0.1820465,24
2021-01-04 09:45:00,0.25864149999999997,0.182126,24
2021-01-04 09:46:00,0.257312,0.1799365,24
2021-01-04 09:47:00,0.2578805,0.179504,24
2021-01-04 09:48:00,0.2589515,0.1811815,24
2021-01-04 09:49:00,0.2586155,0.1807475,24
2021-01-04 09:50:00,0.258569,0.180721,24
2021-01-04 09:51:00,0.258444,0.18088300000000002,24
2021-01-04 09:52:00,0.25810999999999995,0.180837,24
2021-01-04 09:53:00,0.2578245,0.1805575,24
2021-01-04 09:54:00,0.257996,0.180363,24
2021-01-04 09:55:00,0.2584315,0.180103,24
2021-01-04 09:56:00,0.2584475,0.1794595,24
2021-01-04 09:57:00,0.258586,0.177732,24
2021-01-04 09:58:00,0.2579445,0.178561,24
2021-01-04 09:59:00,0.25763199999999997,0.18030000000000002,24
2021-01-04 10:00:00,0.25768349999999995,0.1802935,24
2021-01-04 10:01:00,0.2573445,0.180258,24
2021-01-04 10:02:00,0.258088,0.1802755,24
2021-01-04 10:03:00,0.258044,0.1803565,24
2021-01-04 10:04:00,0.2570325,0.1806045,24
2021-01-04 10:05:00,0.2570795,0.180837,24
2021-01-04 10:06:00,0.2575205,0.180917,24
2021-01-04 10:07:00,0.257256,0.181053,24
2021-01-04 10:08:00,0.25665,0.1808695,24
2021-01-04 10:09:00,0.25737,0.18057099999999998,24
2021-01-04 10:10:00,0.2573725,0.180994,24
2021-01-04 10:11:00,0.2572125,0.1813165,24
2021-01-04 10:12:00,0.2570925,0.18159,24
2021-01-04 10:13:00,0.2554615,0.18168,24
2021-01-04 10:14:00,0.256179,0.1817825,24
2021-01-04 10:15:00,0.256174,0.1817355,24
2021-01-04 10:16:00,0.256312,0.1815355,24
2021-01-04 10:17:00,0.257544,0.18148999999999998,24
2021-01-04 10:18:00,0.25942149999999997,0.181318,24
2021-01-04 10:19:00,0.258176,0.1811215,24
2021-01-04 10:20:00,0.25759,0.1811355,24
2021-01-04 10:21:00,0.256693,0.1811465,24
2021-01-04 10:22:00,0.2573045,0.1810405,24
2021-01-04 10:23:00,0.2571625,0.1811535,24
2021-01-04 10:24:00,0.2568285,0.1815795,24
2021-01-04 10:25:00,0.25631349999999997,0.181745,24
2021-01-04 10:26:00,0.255709,0.1817505,24
2021-01-04 10:27:00,0.2555535,0.181565,24
2021-01-04 10:28:00,0.256105,0.18181799999999998,24
2021-01-04 10:29:00,0.256074,0.18183749999999999,24
2021-01-04 10:30:00,0.2565215,0.18189450000000001,24
2021-01-04 10:31:00,0.257101,0.18193,24
2021-01-04 10:32:00,0.257772,0.18177949999999998,24
2021-01-04 10:33:00,0.258322,,24
